g,Psi,GR
10,-2,0
10,-1.5,0
10,-1.2,0
10,-1,0
10,-0.8,0.073650033
10,-0.6,0.115454482
10,-0.4,0.15074304
10,-0.25,0.165087272
10,-0.12,0.173431775
10,-0.06,0.177609728
10,-0.03,0.178206552
10,0,0.178901241
30,-2,0
30,-1.5,0
30,-1.2,0
30,-1,0
30,-0.8,0.064516347
30,-0.6,0.101943112
30,-0.4,0.133217423
30,-0.25,0.146013963
30,-0.12,0.153332474
30,-0.06,0.157058159
30,-0.03,0.157585913
30,0,0.158033403
50,-2,0
50,-1.5,0
50,-1.2,0
50,-1,0
50,-0.8,0.058479837
50,-0.6,0.094041124
50,-0.4,0.123093457
50,-0.25,0.135122377
50,-0.12,0.141789994
50,-0.06,0.145289526
50,-0.03,0.145777716
50,0,0.145904444