Dish,Storage,Temp,timeBef,timeAf,nSeeds
1,Low,Fix,0,1,0
1,Low,Fix,1,2,0
1,Low,Fix,2,3,0
1,Low,Fix,3,4,0
1,Low,Fix,4,5,0
1,Low,Fix,5,6,0
1,Low,Fix,6,7,0
1,Low,Fix,7,8,0
1,Low,Fix,8,9,3
1,Low,Fix,9,10,4
1,Low,Fix,10,11,6
1,Low,Fix,11,12,0
1,Low,Fix,12,13,1
1,Low,Fix,13,14,0
1,Low,Fix,14,15,3
1,Low,Fix,15,Inf,8
2,Low,Fix,0,1,0
2,Low,Fix,1,2,0
2,Low,Fix,2,3,0
2,Low,Fix,3,4,0
2,Low,Fix,4,5,1
2,Low,Fix,5,6,0
2,Low,Fix,6,7,0
2,Low,Fix,7,8,0
2,Low,Fix,8,9,2
2,Low,Fix,9,10,7
2,Low,Fix,10,11,2
2,Low,Fix,11,12,3
2,Low,Fix,12,13,0
2,Low,Fix,13,14,5
2,Low,Fix,14,15,1
2,Low,Fix,15,Inf,4
3,Low,Fix,0,1,0
3,Low,Fix,1,2,0
3,Low,Fix,2,3,0
3,Low,Fix,3,4,0
3,Low,Fix,4,5,1
3,Low,Fix,5,6,0
3,Low,Fix,6,7,0
3,Low,Fix,7,8,1
3,Low,Fix,8,9,3
3,Low,Fix,9,10,5
3,Low,Fix,10,11,2
3,Low,Fix,11,12,4
3,Low,Fix,12,13,0
3,Low,Fix,13,14,1
3,Low,Fix,14,15,3
3,Low,Fix,15,Inf,5
4,Low,Fix,0,1,0
4,Low,Fix,1,2,0
4,Low,Fix,2,3,0
4,Low,Fix,3,4,0
4,Low,Fix,4,5,1
4,Low,Fix,5,6,0
4,Low,Fix,6,7,3
4,Low,Fix,7,8,0
4,Low,Fix,8,9,0
4,Low,Fix,9,10,3
4,Low,Fix,10,11,1
4,Low,Fix,11,12,1
4,Low,Fix,12,13,0
4,Low,Fix,13,14,4
4,Low,Fix,14,15,4
4,Low,Fix,15,Inf,8
5,High,Fix,0,1,0
5,High,Fix,1,2,0
5,High,Fix,2,3,0
5,High,Fix,3,4,0
5,High,Fix,4,5,0
5,High,Fix,5,6,0
5,High,Fix,6,7,0
5,High,Fix,7,8,0
5,High,Fix,8,9,1
5,High,Fix,9,10,2
5,High,Fix,10,11,5
5,High,Fix,11,12,4
5,High,Fix,12,13,2
5,High,Fix,13,14,3
5,High,Fix,14,15,0
5,High,Fix,15,Inf,8
6,High,Fix,0,1,0
6,High,Fix,1,2,0
6,High,Fix,2,3,0
6,High,Fix,3,4,0
6,High,Fix,4,5,0
6,High,Fix,5,6,0
6,High,Fix,6,7,0
6,High,Fix,7,8,0
6,High,Fix,8,9,2
6,High,Fix,9,10,2
6,High,Fix,10,11,7
6,High,Fix,11,12,8
6,High,Fix,12,13,1
6,High,Fix,13,14,2
6,High,Fix,14,15,1
6,High,Fix,15,Inf,2
7,High,Fix,0,1,0
7,High,Fix,1,2,0
7,High,Fix,2,3,0
7,High,Fix,3,4,0
7,High,Fix,4,5,0
7,High,Fix,5,6,0
7,High,Fix,6,7,0
7,High,Fix,7,8,2
7,High,Fix,8,9,4
7,High,Fix,9,10,6
7,High,Fix,10,11,4
7,High,Fix,11,12,5
7,High,Fix,12,13,2
7,High,Fix,13,14,1
7,High,Fix,14,15,0
7,High,Fix,15,Inf,1
8,High,Fix,0,1,0
8,High,Fix,1,2,0
8,High,Fix,2,3,0
8,High,Fix,3,4,0
8,High,Fix,4,5,0
8,High,Fix,5,6,0
8,High,Fix,6,7,0
8,High,Fix,7,8,0
8,High,Fix,8,9,1
8,High,Fix,9,10,2
8,High,Fix,10,11,7
8,High,Fix,11,12,5
8,High,Fix,12,13,1
8,High,Fix,13,14,3
8,High,Fix,14,15,1
8,High,Fix,15,Inf,5
9,Low,Alt,0,1,0
9,Low,Alt,1,2,0
9,Low,Alt,2,3,0
9,Low,Alt,3,4,0
9,Low,Alt,4,5,0
9,Low,Alt,5,6,0
9,Low,Alt,6,7,0
9,Low,Alt,7,8,0
9,Low,Alt,8,9,0
9,Low,Alt,9,10,0
9,Low,Alt,10,11,1
9,Low,Alt,11,12,2
9,Low,Alt,12,13,0
9,Low,Alt,13,14,3
9,Low,Alt,14,15,7
9,Low,Alt,15,Inf,12
10,Low,Alt,0,1,0
10,Low,Alt,1,2,0
10,Low,Alt,2,3,0
10,Low,Alt,3,4,0
10,Low,Alt,4,5,0
10,Low,Alt,5,6,0
10,Low,Alt,6,7,0
10,Low,Alt,7,8,0
10,Low,Alt,8,9,0
10,Low,Alt,9,10,1
10,Low,Alt,10,11,1
10,Low,Alt,11,12,2
10,Low,Alt,12,13,3
10,Low,Alt,13,14,2
10,Low,Alt,14,15,1
10,Low,Alt,15,Inf,15
11,Low,Alt,0,1,0
11,Low,Alt,1,2,0
11,Low,Alt,2,3,0
11,Low,Alt,3,4,0
11,Low,Alt,4,5,0
11,Low,Alt,5,6,0
11,Low,Alt,6,7,0
11,Low,Alt,7,8,0
11,Low,Alt,8,9,0
11,Low,Alt,9,10,0
11,Low,Alt,10,11,2
11,Low,Alt,11,12,0
11,Low,Alt,12,13,2
11,Low,Alt,13,14,1
11,Low,Alt,14,15,4
11,Low,Alt,15,Inf,16
12,Low,Alt,0,1,0
12,Low,Alt,1,2,0
12,Low,Alt,2,3,0
12,Low,Alt,3,4,0
12,Low,Alt,4,5,0
12,Low,Alt,5,6,0
12,Low,Alt,6,7,0
12,Low,Alt,7,8,0
12,Low,Alt,8,9,0
12,Low,Alt,9,10,0
12,Low,Alt,10,11,1
12,Low,Alt,11,12,0
12,Low,Alt,12,13,1
12,Low,Alt,13,14,2
12,Low,Alt,14,15,2
12,Low,Alt,15,Inf,19
13,High,Alt,0,1,0
13,High,Alt,1,2,0
13,High,Alt,2,3,0
13,High,Alt,3,4,0
13,High,Alt,4,5,0
13,High,Alt,5,6,0
13,High,Alt,6,7,1
13,High,Alt,7,8,2
13,High,Alt,8,9,2
13,High,Alt,9,10,5
13,High,Alt,10,11,10
13,High,Alt,11,12,1
13,High,Alt,12,13,2
13,High,Alt,13,14,0
13,High,Alt,14,15,0
13,High,Alt,15,Inf,2
14,High,Alt,0,1,0
14,High,Alt,1,2,0
14,High,Alt,2,3,0
14,High,Alt,3,4,0
14,High,Alt,4,5,0
14,High,Alt,5,6,0
14,High,Alt,6,7,0
14,High,Alt,7,8,1
14,High,Alt,8,9,2
14,High,Alt,9,10,9
14,High,Alt,10,11,11
14,High,Alt,11,12,1
14,High,Alt,12,13,0
14,High,Alt,13,14,1
14,High,Alt,14,15,0
14,High,Alt,15,Inf,0
15,High,Alt,0,1,0
15,High,Alt,1,2,0
15,High,Alt,2,3,0
15,High,Alt,3,4,0
15,High,Alt,4,5,0
15,High,Alt,5,6,0
15,High,Alt,6,7,1
15,High,Alt,7,8,5
15,High,Alt,8,9,1
15,High,Alt,9,10,5
15,High,Alt,10,11,6
15,High,Alt,11,12,3
15,High,Alt,12,13,2
15,High,Alt,13,14,0
15,High,Alt,14,15,1
15,High,Alt,15,Inf,1
16,High,Alt,0,1,0
16,High,Alt,1,2,0
16,High,Alt,2,3,0
16,High,Alt,3,4,0
16,High,Alt,4,5,0
16,High,Alt,5,6,0
16,High,Alt,6,7,0
16,High,Alt,7,8,10
16,High,Alt,8,9,4
16,High,Alt,9,10,4
16,High,Alt,10,11,4
16,High,Alt,11,12,0
16,High,Alt,12,13,0
16,High,Alt,13,14,0
16,High,Alt,14,15,0
16,High,Alt,15,Inf,3