Parcelle,Codice,Blocco,Tesi,Yield
1,A,1,4 Cascine,2.604
25,A,2,4 Cascine,2.745
60,A,3,4 Cascine,2.815
63,A,4,4 Cascine,2.739
7,B,1,Casalina,3.128
33,B,2,Casalina,2.997
56,B,3,Casalina,3.355
78,B,4,Casalina,3.054
3,C,1,Classe,2.841
36,C,2,Classe,2.857
51,C,3,Classe,2.752
76,C,4,Classe,3.184
4,D,1,Costanza,2.521
34,D,2,Costanza,2.652
49,D,3,Costanza,2.522
71,D,4,Costanza,2.132
15,E,1,Dimitra,3.113
28,E,2,Dimitra,3.129
43,E,3,Dimitra,2.891
74,E,4,Dimitra,3.157
10,F,1,FDL 0101,3.317
31,F,2,FDL 0101,3.128
55,F,3,FDL 0101,3.055
79,F,4,FDL 0101,2.972
12,G,1,Garisenda,2.879
27,G,2,Garisenda,2.565
47,G,3,Garisenda,2.660
68,G,4,Garisenda,3.119
2,H,1,La Bella Campagnola,2.919
40,H,2,La Bella Campagnola,2.758
44,H,3,La Bella Campagnola,3.096
75,H,4,La Bella Campagnola,3.236
16,I,1,La Torre,3.110
22,I,2,La Torre,2.756
53,I,3,La Torre,2.783
80,I,4,La Torre,3.290
9,L,1,Linfa,2.510
23,L,2,Linfa,2.832
45,L,3,Linfa,2.910
62,L,4,Linfa,2.820
18,M,1,Marina,2.506
35,M,2,Marina,2.978
58,M,3,Marina,3.147
64,M,4,Marina,2.804
11,N,1,Palladiana,2.515
24,N,2,Palladiana,2.716
57,N,3,Palladiana,3.016
70,N,4,Palladiana,2.969
5,O,1,Picena GR,2.967
26,O,2,Picena GR,3.120
52,O,3,Picena GR,3.035
77,O,4,Picena GR,3.051
17,P,1,PR56S82,3.205
21,P,2,PR56S82,2.995
46,P,3,PR56S82,3.109
73,P,4,PR56S82,3.058
14,Q,1,PR57Q53,2.945
37,Q,2,PR57Q53,3.292
48,Q,3,PR57Q53,3.221
65,Q,4,PR57Q53,3.188
6,R,1,Prosementi,3.205
38,R,2,Prosementi,3.258
42,R,3,Prosementi,2.963
66,R,4,Prosementi,2.983
13,S,1,Riviera Vicentina,2.484
39,S,2,Riviera Vicentina,2.675
41,S,3,Riviera Vicentina,2.680
67,S,4,Riviera Vicentina,2.568
8,T,1,Robot,2.419
32,T,2,Robot,2.814
54,T,3,Robot,2.757
69,T,4,Robot,3.173
19,U,1,Selene,3.119
30,U,2,Selene,3.049
59,U,3,Selene,2.975
61,U,4,Selene,2.815
20,V,1,Zenith,2.939
29,V,2,Zenith,3.374
50,V,3,Zenith,2.977
72,V,4,Zenith,2.787