276,156,322,250,162,193,222,152
136,166,164,134,102,150,96,90
246,158,416,213,160,222,128,166
318,132,218,272,138,195,108,124
150,124,164,164,156,158,100,114
182,136,204,216,133,174,112,120
174,86,194,142,86,92,58,94
152,128,158,136,126,114,84,142
302,178,274,246,140,204,254,154
142,175,136,128,128,174,116,114
242,174,360,178,140,208,160,154
204,138,206,210,130,192,138,176
180,140,156,146,176,192,104,170
186,146,202,222,150,166,136,176
162,100,162,100,98,84,48,142
154,138,140,144,124,112,96,166